FishID,CaptureLocation,HIS,Oto_M,OTO_S,VisualStray,Water_M,Water_S,TotalSD,Prob,Stray,StrayBool,pRBT,lpRBT,F1,HybridClasses3,HybridClasses2
CYC1,CYC,39,0.72511101,0.000387305,H,0.725487688,9.00E-05,0.001357696,0.390721406,H,0,0.5,0.040005335,1,HHyb,HHyb
CYC2,CYC,39,0.731270188,0.000266806,S,0.725487688,9.00E-05,0.001328352,6.71E-06,S,1,0.5,0.040005335,1,HHyb,HHyb
CYC7,CYC,2,0.724128055,0.000426566,H,0.725487688,9.00E-05,0.001369413,0.16038961,H,0,0.025641026,-3.297966225,0,LHyb,WCT/LHyb
CYC8,CYC,39,0.724282828,0.000638885,H,0.725487688,9.00E-05,0.001449658,0.202948924,H,0,0.5,0.040005335,1,HHyb,HHyb
CYC9,CYC,39,0.731196987,0.000408296,S,0.725487688,9.00E-05,0.001363833,1.42E-05,S,1,0.5,0.040005335,1,HHyb,HHyb
CYC10,CYC,43,0.731216446,5.41E-05,S,0.725487688,9.00E-05,0.001302406,5.45E-06,S,1,0.551282051,0.246366824,0,HHyb,HHyb
CYC11,CYC,27,0.732416572,0.00021341,S,0.725487688,9.00E-05,0.001318665,7.42E-08,S,1,0.346153846,-0.592097016,0,LHyb,WCT/LHyb
CYC12,CYC,0,0.722953639,0.000464151,H,0.725487688,9.00E-05,0.001381582,0.033314807,S,1,0,-4.59511985,0,WCT,WCT/LHyb
CYC13,CYC,0,0.7314,0.00072846,S,0.725487688,9.00E-05,0.001937705,0.010495084,S,1,0,-4.59511985,0,WCT,WCT/LHyb
CYC14,CYC,39,0.724658667,0.000388413,H,0.725487688,9.00E-05,0.001358013,0.270776387,H,0,0.5,0.040005335,1,HHyb,HHyb
CYC15,CYC,0,7.24E-01,0.00021489,H,0.725487688,9.00E-05,0.001322742,0,S,1,0,-4.59511985,0,WCT,WCT/LHyb
MCG1,MCG,0,0.734786,0.000200217,H,0.732845122,0.004688317,0.004868844,0.345082101,H,0,0,-4.59511985,0,WCT,WCT/LHyb
MCG4,MCG,2,0.729699523,0.001771482,H,0.732845122,0.004688317,0.005177229,0.27173186,H,0,0.025641026,-3.297966225,0,LHyb,WCT/LHyb
MCG5,MCG,29,0.7314,0.00124924,H,0.732845122,0.004688317,0.004915151,0.146212316,H,0,0.371794872,-0.481936845,0,LHyb,WCT/LHyb
MCG6,MCG,4,0.733038822,0.001125183,H,0.732845122,0.004688317,0.004993154,0.484527641,H,0,0.051282051,-2.729028061,0,LHyb,WCT/LHyb
MCG7,MCG,8,0.738007019,0.002618126,H,0.732845122,0.004688317,0.005524503,0.175058074,H,0,0.102564103,-2.064813431,0,LHyb,WCT/LHyb
MCG8,MCG,31,0.730049138,0.001187221,H,0.732845122,0.004688317,0.005007499,0.288299498,H,0,0.397435897,-0.374575444,0,LHyb,WCT/LHyb
MCG9,MCG,25,0.728119548,0.001012209,H,0.732845122,0.004688317,0.004968915,0.170795235,H,0,0.320512821,-0.705866566,0,LHyb,WCT/LHyb
MCG11,MCG,26,0.745018333,0.002121661,S,0.732845122,0.004688317,0.005307259,0.01090413,S,1,0.333333333,-0.648474741,0,LHyb,WCT/LHyb
MCG12,MCG,31,0.732125835,0.001363685,H,0.732845122,0.004688317,0.005052246,0.443393974,H,0,0.397435897,-0.374575444,0,LHyb,WCT/LHyb
MCG14,MCG,39,0.727480194,0.000647766,S,0.732845122,0.004688317,0.004907662,0.137158766,H,0,0.5,0.040005335,1,HHyb,HHyb
MCG15,MCG,34,0.729635107,0.002377666,H,0.732845122,0.004688317,0.005414688,0.276645869,H,0,0.435897436,-0.217260842,0,LHyb,WCT/LHyb
MCG16,MCG,0,0.731940946,0.000860361,H,0.732845122,0.004688317,0.00494022,0.427389841,H,0,0,-4.59511985,0,WCT,WCT/LHyb
MCG18,MCG,33,0.7319,0.00071,H,0.732845122,0.004688317,0.005420016,0.142371191,H,0,0.423076923,-0.269308264,0,LHyb,WCT/LHyb
MCG19,MCG,5,0.730964879,0.000767006,H,0.732845122,0.004688317,0.00492482,0.351308862,H,0,0.064102564,-2.525313333,0,LHyb,WCT/LHyb
MCG21,MCG,60,0.747418347,0.000215055,S,0.732845122,0.004688317,0.004869476,0.001382288,S,1,0.769230769,1.261189288,0,HHyb,HHyb
MCG22,MCG,0,0.737854084,0.001497287,H,0.732845122,0.004688317,0.005089933,0.16253515,H,0,0,-4.59511985,0,WCT,WCT/LHyb
MCG23,MCG,2,0.73171087,0.00019091,H,0.732845122,0.004688317,0.00486847,0.407888792,H,0,0.025641026,-3.297966225,0,LHyb,WCT/LHyb
MCG24,MCG,54,0.724768792,0.001143283,H,0.732845122,0.004688317,0.004997264,0.053030894,H,0,0.692307692,0.858311188,0,HHyb,HHyb
MCG25,MCG,37,0.73299175,0.000720498,H,0.732845122,0.004688317,0.004917791,0.488106968,H,0,0.474358974,-0.062584522,1,LHyb,WCT/LHyb
MCG26,MCG,0,0.732403913,0.000326071,H,0.732845122,0.004688317,0.004875641,0.463947948,H,0,0,-4.59511985,0,WCT,WCT/LHyb
MCG27,MCG,9,0.729166667,0.000575768,H,0.732845122,0.004688317,0.004898679,0.226354143,H,0,0.115384615,-1.942398293,0,LHyb,WCT/LHyb
MCG28,MCG,61,0.746336875,0.000428425,H,0.732845122,0.004688317,0.004883554,0.002866346,S,1,0.782051282,1.337334639,0,HHyb,HHyb
LAN6,LAN,54,0.727466983,0.000388493,H,0.727079526,1.00E-04,0.001358735,0.387760846,H,0,0.692307692,0.858311188,0,HHyb,HHyb
LAN1,LAN,76,0.724,0.001,S,0.727079526,1.00E-04,0.001641717,0.030341639,S,1,0.974358974,4.142093331,0,HHyb,HHyb
LAN2,LAN,39,0.729,0.003464102,H,0.727079526,1.00E-04,0.003700707,0.30189856,H,0,0.5,0.040005335,0,HHyb,HHyb
LAN3,LAN,38,0.728333333,0.001527525,H,0.727079526,1.00E-04,0.002007129,0.266091547,H,0,0.487179487,-0.011282171,0,LHyb,WCT/LHyb
LAN4,LAN,21,0.728,0.002645751,H,0.727079526,1.00E-04,0.002948768,0.377461203,H,0,0.269230769,-0.948280448,0,LHyb,WCT/LHyb